schoolindex,school,y9,y10,y11,y12,y13,y14,y15,y16,y17
3,대구가룰릭대,0,2,0,0,0,0,1,0,0
3,대구교대,0,0,0,0,2,0,0,2,0
3,동국대,1,1,1,3,0,2,0,0,0
3,명지대,0,0,0,0,1,0,0,0,0
3,부경대,1,0,0,0,0,0,0,0,0
3,부산대,1,1,2,2,0,0,0,0,0
3,상명대,0,0,0,1,0,0,0,0,0
3,서강대,0,5,3,1,3,2,3,3,0
3,서경대,0,0,0,1,0,0,0,0,0
3,서울교대,0,0,1,0,0,0,1,1,0
3,서울대,20,16,8,8,7,12,16,13,0
3,서울시립대,1,0,2,0,3,5,0,0,0
3,성균관대,3,15,9,9,14,8,10,10,0
3,숙명여대,0,1,3,2,2,0,0,4,0
3,숭실대,0,0,0,0,0,0,0,1,0
3,아주대,1,1,0,1,0,1,0,0,0
3,연세대,12,10,15,7,8,17,16,21,0
3,영남대,0,0,0,1,4,3,0,1,0
3,울산과기대,0,0,0,0,0,2,0,0,0
3,울산대,1,0,0,0,0,0,0,0,0
3,육군사관학교,0,0,0,0,0,0,2,0,0
3,원광대,0,1,0,0,0,0,0,0,0
3,을지대,0,0,0,0,0,0,1,0,0
3,이화여대,8,5,8,4,8,9,6,6,0
3,인하대,0,0,0,1,0,0,0,0,0
3,전북대,0,0,0,1,0,0,0,0,0
3,제주대,0,0,0,1,0,0,0,0,0
3,중앙대,1,4,5,3,8,0,3,7,0
3,창원대,1,0,0,1,0,0,0,0,0
3,청주교대,0,0,0,0,1,0,0,0,0
3,충남대,1,1,0,2,1,0,0,0,0
3,충북대,0,1,1,0,0,0,0,0,0
3,학점은행,0,0,0,1,0,0,0,0,0
3,포항공대,1,0,0,0,0,0,1,0,0
3,카이스트,1,2,0,0,0,0,1,0,0
3,한국교원대,0,1,1,0,0,0,0,0,0
3,한국예술종합학교,0,0,0,0,0,1,0,0,0
3,한국외대,0,4,4,5,1,3,3,1,0
3,한국항공대,1,0,1,1,0,0,0,0,0
3,한국해양대,0,0,0,1,0,0,0,0,0
3,한동대,2,2,1,2,1,0,3,5,0
3,한양대,10,7,9,16,13,9,9,17,0
3,홍익대,2,2,3,0,1,0,2,2,0
3,Peking University,0,0,0,0,0,1,0,0,0
3,Carleton College,0,1,0,0,0,0,0,0,0
3,George Washington University,0,1,0,0,0,0,0,0,0
3,University of Rochester,0,1,0,0,0,0,0,0,0
3,State Univerisity of New York,0,0,1,0,0,0,0,0,0
3,University of Wisconsin Madison,0,0,0,0,1,0,0,0,0
3,Carnegie Mellon University,0,0,0,0,0,1,0,0,0
4,경북대,0,0,1,0,0,0,0,0,0
4,경인교대,0,0,0,0,0,0,0,1,0
4,경찰대,0,3,2,1,2,1,3,0,0
4,경희대,9,9,11,14,12,14,11,11,0
4,고려대,10,15,9,14,6,9,13,8,0
4,공군사관학교,0,0,1,0,0,0,0,0,0
4,국민대,0,0,0,1,0,1,0,0,0
4,덕성여대,0,1,0,0,0,0,0,0,0
4,동국대,0,0,0,0,2,0,2,2,0
4,부산대,0,0,0,0,0,1,0,0,0
4,서강대,0,1,1,3,2,2,2,1,0
4,서울교대,0,0,1,0,0,0,0,0,0
4,서울대,20,11,11,6,6,8,8,9,0
4,서울시립대,0,0,1,0,0,0,0,0,0
4,성균관대,3,0,4,2,3,2,1,5,0
4,세종대,1,0,0,0,0,0,0,0,0
4,숙명여대,0,0,1,1,1,0,2,4,0
4,숭실대,0,1,0,0,1,0,0,0,0
4,연세대,10,11,6,8,12,8,14,14,0
4,이화여대,0,1,3,9,6,6,1,3,0
4,인하대,0,0,0,1,0,0,0,0,0
4,전북대,1,0,0,0,0,0,0,0,0
4,중앙대,0,1,0,0,0,0,0,1,0
4,포항공대,1,0,0,0,0,1,0,0,0
4,카이스트,1,2,1,0,0,3,0,1,0
4,학점은행,0,0,2,0,0,0,0,2,0
4,한국외대,1,0,0,0,1,0,1,0,0
4,한국항공대,0,0,0,0,0,0,1,0,0
4,한동대,0,1,2,2,0,1,0,0,0
4,한림대,2,4,4,1,8,4,3,0,0
4,한양대,0,0,0,1,1,1,0,1,0
4,홍익대,0,0,0,0,0,1,0,3,0
4,State Univerisity of New York,1,0,0,0,0,0,0,0,0
4,University of Michigan,0,0,1,0,0,0,0,0,0
5,경북대,0,0,0,0,1,0,0,0,0
5,경찰대,3,3,1,2,1,1,4,1,0
5,경희대,0,0,1,0,0,0,0,0,0
5,고려대,57,50,60,68,82,55,59,63,0
5,부산대,1,0,0,0,0,1,0,0,0
5,서강대,0,2,1,0,0,0,1,1,0
5,서울대,48,43,37,35,24,43,47,35,0
5,성균관대,0,0,0,0,0,1,0,0,0
5,연세대,5,9,8,8,7,11,4,6,0
5,울산대,0,1,0,0,0,0,0,0,0
5,이화여대,1,4,2,1,1,2,2,4,0
5,조선대,0,0,0,1,0,0,0,0,0
5,포천중문의대,0,1,0,0,0,0,0,0,0
5,포항공대,2,2,3,1,2,0,1,0,0
5,카이스트,2,6,8,3,5,2,1,7,0
5,한국방통대,0,0,0,0,0,0,0,1,0
5,학점은행,0,0,0,0,0,0,1,0,0
5,한양대,1,2,0,1,1,1,1,3,0
5,Peking University,1,1,0,0,0,0,0,0,0
5,Waseda University,0,0,0,0,0,1,0,0,0
5,Columbia University,0,0,1,0,0,0,0,0,0
5,Duke Univeristy,0,0,0,1,0,0,0,0,0
5,Northwester University,0,0,0,1,0,0,0,0,0
5,University of Michigan,0,0,1,0,0,0,0,0,0
5,Wellesley College,0,0,0,1,0,0,0,0,0
5,Dartmouth College,0,0,0,0,1,0,0,0,0
5,Georgetown University,0,0,0,0,0,1,0,0,0
5,University of California,0,0,0,0,0,2,0,0,0
5,Brown University,0,0,0,0,0,1,0,0,0
5,Bowdoin College,0,0,0,0,0,1,0,0,0
5,Tufts University,0,0,0,0,0,1,0,0,0
5,Tulane University,0,0,0,0,0,1,0,0,0
5,Emory University,0,0,0,0,0,1,0,0,0
5,university of pennsylvania,0,0,0,0,0,1,0,0,0
5,New York University,0,0,0,0,0,0,1,0,0
5,Stanford University,0,0,0,0,0,0,1,0,0
5,University of California,0,0,0,0,0,0,1,0,0
5,University of Virginia,0,0,0,0,0,0,1,0,0
5,Wesleyan University,0,0,0,0,0,0,1,0,0
5,Cornell University,0,0,0,0,0,0,0,2,0
5,The Hong Kong University,0,0,0,0,0,0,0,1,0
5,University College London,0,0,0,0,0,0,0,1,0
5,University of Notre Dame,0,0,0,0,0,0,0,1,0
5,Washington University,0,0,0,0,0,0,0,1,0
6,영남대,2,0,3,3,1,0,0,0,0
6,영산대,1,4,1,1,0,0,1,0,0
6,원광대,0,1,0,0,0,0,0,0,0
6,이화여대,4,10,5,4,3,2,7,6,0
6,인제대,0,0,0,0,0,0,0,1,0
6,인천대,1,0,0,0,0,0,0,0,0
6,인하대,0,1,0,0,1,0,0,0,0
6,전남대,2,0,0,0,0,0,1,0,0
6,전북대,0,1,0,0,0,0,0,0,0
6,중앙대,0,1,2,0,2,0,1,1,0
6,진주교대,0,1,0,0,0,0,0,1,0
6,창원대,0,0,0,0,1,0,0,1,0
6,충남대,0,0,0,1,0,1,0,0,0
6,학점은행,0,0,1,0,0,0,0,1,0
5,카이스트,0,0,0,0,0,0,0,0,2
6,한국방통대,0,0,1,0,0,0,0,0,0
6,한국사이버대,0,1,1,0,0,0,0,0,0
6,한국예술종합학교,0,0,0,0,0,0,1,0,0
6,한국외대,4,1,1,3,3,3,1,1,0
6,한국항공대,0,0,0,1,0,0,0,0,0
6,한국해양대,1,1,0,3,0,0,0,1,0
6,한남대,0,0,0,1,0,0,0,0,0
6,한동대,2,0,0,1,1,0,0,0,0
6,한양대,3,3,6,8,6,11,2,3,0
6,홍익대,5,1,0,0,0,0,1,2,0
5,Oxford,0,0,0,0,0,0,0,0,2
6,정법대,0,0,0,0,0,1,0,0,0
5,Rice University,0,0,0,0,0,0,0,0,1
6,복단대,0,0,0,0,2,0,0,0,0
5,Columbia University,0,0,0,0,0,0,0,0,1
6,카이스트,0,0,1,0,0,0,1,0,0
6,Waseda University,0,0,0,0,0,0,1,0,0
6,Tsinghua University,0,0,0,1,0,0,0,0,0
6,Nanjing University,0,0,0,0,0,0,0,1,0
6,Peking University,0,0,0,0,0,0,0,2,0
6,Ohio State University,0,1,0,0,0,0,0,0,0
6,Baylor University,0,0,0,1,0,0,0,0,0
6,Purdue University,0,0,1,0,0,0,0,0,0
6,Queens University,0,1,0,0,0,0,0,0,0
6,School of Visual Arts,0,0,0,1,0,0,0,0,0
6,Smith College,0,0,0,1,0,0,0,0,0
6,University of Auckla,0,0,0,1,1,0,0,0,0
6,University of California,0,0,0,1,0,0,0,0,0
6,University of Michigan,0,0,1,0,0,0,0,0,0
6,University of South ,0,0,0,1,0,1,0,0,0
6,University of Washinton,0,1,0,0,1,0,0,0,0
6,State Univerisity of New York,0,0,0,0,1,0,0,0,0
6,George Washington University,0,0,0,0,1,0,0,0,0
6,State Univerisity of New York,0,0,0,0,1,0,0,0,0
6,University of Iowa,0,0,0,0,1,0,0,0,0
6,Cornell University,0,0,0,0,0,1,0,0,0
6,Carnegie Mellon University,0,0,0,0,0,0,1,0,0
7,숙명여대,0,0,0,1,0,0,1,0,0
7,아주대,0,0,0,0,1,0,0,0,0
7,연세대,18,12,21,15,19,17,20,34,0
7,영남대,0,0,0,0,0,0,1,0,0
7,울산대,1,0,0,0,0,0,0,0,0
7,원광대,0,1,1,0,1,0,0,1,0
7,이화여대,8,11,8,8,8,12,10,5,0
7,인제대,0,1,1,0,0,0,0,0,0
7,전남대,0,1,0,0,0,0,0,0,0
7,조선대,0,1,0,0,0,0,0,0,0
