schoolindex,school,y9,y10,y11,y12,y13,y14,y15,y16,y17,sum
3,기타 대학,0,0,0,1,0,0,0,0,0,1
3,서강대,0,5,3,1,3,2,3,3,0,20
3,기타 대학,0,0,0,1,0,0,0,0,0,1
3,기타 대학,0,0,1,0,0,0,1,1,0,3
3,서울대,20,16,8,8,7,12,16,13,0,100
3,서울시립대,1,0,2,0,3,5,0,0,0,11
3,성균관대,3,15,9,9,14,8,10,10,0,78
3,숙명여대,0,1,3,2,2,0,0,4,0,12
3,기타 대학,0,0,0,0,0,0,0,1,0,1
3,기타 대학,1,1,0,1,0,1,0,0,0,4
3,연세대,12,10,15,7,8,17,16,21,0,106
3,기타 대학,0,0,0,1,4,3,0,1,0,9
3,기타 대학,0,0,0,0,0,2,0,0,0,2
3,기타 대학,1,0,0,0,0,0,0,0,0,1
3,기타 대학,0,0,0,0,0,0,2,0,0,2
3,기타 대학,0,1,0,0,0,0,0,0,0,1
3,기타 대학,0,0,0,0,0,0,1,0,0,1
3,이화여대,8,5,8,4,8,9,6,6,0,54
3,기타 대학,0,0,0,1,0,0,0,0,0,1
3,전북대,0,0,0,1,0,0,0,0,0,1
3,기타 대학,0,0,0,1,0,0,0,0,0,1
3,중앙대,1,4,5,3,8,0,3,7,0,31
3,기타 대학,1,0,0,1,0,0,0,0,0,2
3,기타 대학,0,0,0,0,1,0,0,0,0,1
3,충남대,1,1,0,2,1,0,0,0,0,5
3,기타 대학,0,1,1,0,0,0,0,0,0,2
3,기타 대학,0,0,0,1,0,0,0,0,0,1
3,기타 대학,1,0,0,0,0,0,1,0,0,2
3,카이스트,1,2,0,0,0,0,1,0,0,4
3,기타 대학,0,1,1,0,0,0,0,0,0,2
3,기타 대학,0,0,0,0,0,1,0,0,0,1
3,한국외대,0,4,4,5,1,3,3,1,0,21
3,기타 대학,1,0,1,1,0,0,0,0,0,3
3,기타 대학,0,0,0,1,0,0,0,0,0,1
3,한동대,2,2,1,2,1,0,3,5,0,16
3,한양대,10,7,9,16,13,9,9,17,0,90
3,홍익대,2,2,3,0,1,0,2,2,0,12
3,해외대,0,0,0,0,0,1,0,0,0,1
3,해외대,0,1,0,0,0,0,0,0,0,1
3,해외대,0,1,0,0,0,0,0,0,0,1
3,해외대,0,1,0,0,0,0,0,0,0,1
3,해외대,0,0,1,0,0,0,0,0,0,1
3,해외대,0,0,0,0,1,0,0,0,0,1
3,해외대,0,0,0,0,0,1,0,0,0,1
4,경북대,0,0,1,0,0,0,0,0,0,1
4,기타 대학,0,0,0,0,0,0,0,1,0,1
4,경찰대,0,3,2,1,2,1,3,0,0,12
4,경희대,9,9,11,14,12,14,11,11,0,91
4,고려대,10,15,9,14,6,9,13,8,0,84
4,기타 대학,0,0,1,0,0,0,0,0,0,1
4,기타 대학,0,0,0,1,0,1,0,0,0,2
4,기타 대학,0,1,0,0,0,0,0,0,0,1
4,동국대,0,0,0,0,2,0,2,2,0,6
4,부산대,0,0,0,0,0,1,0,0,0,1
4,서강대,0,1,1,3,2,2,2,1,0,12
4,기타 대학,0,0,1,0,0,0,0,0,0,1
4,서울대,20,11,11,6,6,8,8,9,0,79
4,서울시립대,0,0,1,0,0,0,0,0,0,1
4,성균관대,3,0,4,2,3,2,1,5,0,20
4,기타 대학,1,0,0,0,0,0,0,0,0,1
4,숙명여대,0,0,1,1,1,0,2,4,0,9
4,기타 대학,0,1,0,0,1,0,0,0,0,2
4,연세대,10,11,6,8,12,8,14,14,0,83
4,이화여대,0,1,3,9,6,6,1,3,0,29
4,기타 대학,0,0,0,1,0,0,0,0,0,1
4,전북대,1,0,0,0,0,0,0,0,0,1
4,중앙대,0,1,0,0,0,0,0,1,0,2
4,기타 대학,1,0,0,0,0,1,0,0,0,2
4,카이스트,1,2,1,0,0,3,0,1,0,8
4,기타 대학,0,0,2,0,0,0,0,2,0,4
4,한국외대,1,0,0,0,1,0,1,0,0,3
4,기타 대학,0,0,0,0,0,0,1,0,0,1
4,한동대,0,1,2,2,0,1,0,0,0,6
4,기타 대학,2,4,4,1,8,4,3,0,0,26
4,한양대,0,0,0,1,1,1,0,1,0,4
4,홍익대,0,0,0,0,0,1,0,3,0,4
4,해외대,1,0,0,0,0,0,0,0,0,1
4,해외대,0,0,1,0,0,0,0,0,0,1
5,경북대,0,0,0,0,1,0,0,0,0,1
5,경찰대,3,3,1,2,1,1,4,1,0,16
5,경희대,0,0,1,0,0,0,0,0,0,1
5,고려대,57,50,60,68,82,55,59,63,0,494
5,부산대,1,0,0,0,0,1,0,0,0,2
5,서강대,0,2,1,0,0,0,1,1,0,5
5,서울대,48,43,37,35,24,43,47,35,0,312
5,성균관대,0,0,0,0,0,1,0,0,0,1
5,연세대,5,9,8,8,7,11,4,6,0,58
5,기타 대학,0,1,0,0,0,0,0,0,0,1
5,이화여대,1,4,2,1,1,2,2,4,0,17
5,기타 대학,0,0,0,1,0,0,0,0,0,1
5,기타 대학,0,1,0,0,0,0,0,0,0,1
5,기타 대학,2,2,3,1,2,0,1,0,0,11
5,카이스트,2,6,8,3,5,2,1,7,0,34
5,기타 대학,0,0,0,0,0,0,0,1,0,1
5,기타 대학,0,0,0,0,0,0,1,0,0,1
5,한양대,1,2,0,1,1,1,1,3,0,10
5,해외대,1,1,0,0,0,0,0,0,0,2
5,해외대,0,0,0,0,0,1,0,0,0,1
5,해외대,0,0,1,0,0,0,0,0,0,1
5,해외대,0,0,0,1,0,0,0,0,0,1
5,해외대,0,0,0,1,0,0,0,0,0,1
5,해외대,0,0,1,0,0,0,0,0,0,1
5,해외대,0,0,0,1,0,0,0,0,0,1
5,해외대,0,0,0,0,1,0,0,0,0,1
5,해외대,0,0,0,0,0,1,0,0,0,1
5,해외대,0,0,0,0,0,2,0,0,0,2
5,해외대,0,0,0,0,0,1,0,0,0,1
5,해외대,0,0,0,0,0,1,0,0,0,1
5,해외대,0,0,0,0,0,1,0,0,0,1
5,해외대,0,0,0,0,0,1,0,0,0,1
5,해외대,0,0,0,0,0,1,0,0,0,1
5,해외대,0,0,0,0,0,1,0,0,0,1
5,해외대,0,0,0,0,0,0,1,0,0,1
5,해외대,0,0,0,0,0,0,1,0,0,1
5,해외대,0,0,0,0,0,0,1,0,0,1
5,해외대,0,0,0,0,0,0,1,0,0,1
5,해외대,0,0,0,0,0,0,1,0,0,1
5,해외대,0,0,0,0,0,0,0,2,0,2
5,해외대,0,0,0,0,0,0,0,1,0,1
5,해외대,0,0,0,0,0,0,0,1,0,1
5,해외대,0,0,0,0,0,0,0,1,0,1
5,해외대,0,0,0,0,0,0,0,1,0,1
6,기타 대학,2,0,3,3,1,0,0,0,0,9
6,기타 대학,1,4,1,1,0,0,1,0,0,8
6,기타 대학,0,1,0,0,0,0,0,0,0,1
6,이화여대,4,10,5,4,3,2,7,6,0,41
6,기타 대학,0,0,0,0,0,0,0,1,0,1
6,기타 대학,1,0,0,0,0,0,0,0,0,1
6,기타 대학,0,1,0,0,1,0,0,0,0,2
6,전남대,2,0,0,0,0,0,1,0,0,3
6,전북대,0,1,0,0,0,0,0,0,0,1
6,중앙대,0,1,2,0,2,0,1,1,0,7
6,기타 대학,0,1,0,0,0,0,0,1,0,2
6,기타 대학,0,0,0,0,1,0,0,1,0,2
6,충남대,0,0,0,1,0,1,0,0,0,2
6,기타 대학,0,0,1,0,0,0,0,1,0,2
5,카이스트,0,0,0,0,0,0,0,0,2,2
6,기타 대학,0,0,1,0,0,0,0,0,0,1
6,기타 대학,0,1,1,0,0,0,0,0,0,2
6,기타 대학,0,0,0,0,0,0,1,0,0,1
6,한국외대,4,1,1,3,3,3,1,1,0,17
6,기타 대학,0,0,0,1,0,0,0,0,0,1
6,기타 대학,1,1,0,3,0,0,0,1,0,6
6,기타 대학,0,0,0,1,0,0,0,0,0,1
6,한동대,2,0,0,1,1,0,0,0,0,4
6,한양대,3,3,6,8,6,11,2,3,0,42
6,홍익대,5,1,0,0,0,0,1,2,0,9
5,해외대,0,0,0,0,0,0,0,0,2,2
6,기타 대학,0,0,0,0,0,1,0,0,0,1
5,해외대,0,0,0,0,0,0,0,0,1,1
6,기타 대학,0,0,0,0,2,0,0,0,0,2
5,해외대,0,0,0,0,0,0,0,0,1,1
6,카이스트,0,0,1,0,0,0,1,0,0,2
6,해외대,0,0,0,0,0,0,1,0,0,1
6,해외대,0,0,0,1,0,0,0,0,0,1
6,해외대,0,0,0,0,0,0,0,1,0,1
6,해외대,0,0,0,0,0,0,0,2,0,2
6,해외대,0,1,0,0,0,0,0,0,0,1
6,해외대,0,0,0,1,0,0,0,0,0,1
6,해외대,0,0,1,0,0,0,0,0,0,1
6,해외대,0,1,0,0,0,0,0,0,0,1
6,해외대,0,0,0,1,0,0,0,0,0,1
6,해외대,0,0,0,1,0,0,0,0,0,1
6,해외대,0,0,0,1,1,0,0,0,0,2
6,해외대,0,0,0,1,0,0,0,0,0,1
6,해외대,0,0,1,0,0,0,0,0,0,1
6,해외대,0,0,0,1,0,1,0,0,0,2
6,해외대,0,1,0,0,1,0,0,0,0,2
6,해외대,0,0,0,0,1,0,0,0,0,1
6,해외대,0,0,0,0,1,0,0,0,0,1
6,해외대,0,0,0,0,1,0,0,0,0,1
6,해외대,0,0,0,0,1,0,0,0,0,1
6,해외대,0,0,0,0,0,1,0,0,0,1
6,해외대,0,0,0,0,0,0,1,0,0,1
7,숙명여대,0,0,0,1,0,0,1,0,0,2
7,기타 대학,0,0,0,0,1,0,0,0,0,1
7,연세대,18,12,21,15,19,17,20,34,0,156
7,기타 대학,0,0,0,0,0,0,1,0,0,1
7,기타 대학,1,0,0,0,0,0,0,0,0,1
7,기타 대학,0,1,1,0,1,0,0,1,0,4
7,이화여대,8,11,8,8,8,12,10,5,0,70
